text,category,priority
My computer won't start up.,hardware_issue,low
Search function not working.,software_bug,medium
The application crashes when I open it.,software_bug,medium
User profile corrupted.,access_issue,critical
Error message: 'File not found'.,software_bug,low
External hard drive not detected.,hardware_issue,low
Set up conference room projector.,service_request,medium
Monitor is displaying distorted colors.,hardware_issue,high
Export function broken.,software_bug,medium
Please install antivirus software.,service_request,low
Router needs rebooting.,network_issue,medium
Two-factor authentication failing.,access_issue,medium
Add user to distribution list.,service_request,medium
Permissions not set correctly.,access_issue,medium
Printer is jammed.,hardware_issue,medium
CD/DVD drive not reading discs.,hardware_issue,high
Plugin not loading.,software_bug,low
I can't log into my account.,access_issue,medium
Speakers have no sound.,hardware_issue,high
Access denied to shared folder.,access_issue,high
Login screen loops endlessly.,software_bug,medium
External hard drive not detected.,hardware_issue,high
Monitor is displaying distorted colors.,hardware_issue,medium
The application crashes when I open it.,software_bug,medium
Video player buffering issues.,software_bug,high
Remote desktop connection refused.,access_issue,critical
Mouse cursor is frozen.,hardware_issue,medium
Monitor is displaying distorted colors.,hardware_issue,high
Laptop battery not charging.,hardware_issue,high
My computer won't start up.,hardware_issue,high
Network cable unplugged.,network_issue,high
Set up conference room projector.,service_request,low
Wireless signal weak.,network_issue,critical
Email client not syncing.,software_bug,critical
Export function broken.,software_bug,low
Video conferencing keeps dropping.,network_issue,high
Wireless signal weak.,network_issue,high
Report generation is incorrect.,software_bug,high
External hard drive not detected.,hardware_issue,medium
Network cable unplugged.,network_issue,high
Hard drive making strange noises.,hardware_issue,high
Database connection error.,software_bug,medium
Wireless signal weak.,network_issue,high
USB ports not working.,hardware_issue,high
CD/DVD drive not reading discs.,hardware_issue,high
The application crashes when I open it.,software_bug,high
Email client not syncing.,software_bug,low
IP address conflict.,network_issue,medium
Login screen loops endlessly.,software_bug,medium
CD/DVD drive not reading discs.,hardware_issue,high
Incorrect calculations in spreadsheet.,software_bug,medium
My computer won't start up.,hardware_issue,high
SSO login issues.,access_issue,high
The keyboard keys are sticking.,hardware_issue,high
Hard drive making strange noises.,hardware_issue,high
Internet connection is very slow.,network_issue,critical
Biometric login not recognizing.,access_issue,medium
Data not saving properly.,software_bug,medium
Group policy not applying.,access_issue,low
Data not saving properly.,software_bug,medium
Error message: 'File not found'.,software_bug,medium
UI elements not responding.,software_bug,medium
Wireless signal weak.,network_issue,critical
Export function broken.,software_bug,high
Error message: 'File not found'.,software_bug,low
Power supply fan is loud.,hardware_issue,high
Speakers have no sound.,hardware_issue,high
Add printer to network.,service_request,high
UI elements not responding.,software_bug,medium
Add user to distribution list.,service_request,low
VPN not working.,network_issue,high
Video player buffering issues.,software_bug,medium
Printer is jammed.,hardware_issue,medium
Biometric login not recognizing.,access_issue,critical
VPN access blocked.,access_issue,critical
Access denied to shared folder.,access_issue,low
Please install antivirus software.,service_request,medium
Permissions not set correctly.,access_issue,high
Plugin not loading.,software_bug,high
Please install antivirus software.,service_request,low
Incorrect calculations in spreadsheet.,software_bug,critical
Database connection error.,software_bug,low
Plugin not loading.,software_bug,medium
Bluetooth device not pairing.,hardware_issue,low
Application freezing randomly.,software_bug,medium
USB ports not working.,hardware_issue,high
External hard drive not detected.,hardware_issue,critical
